period_start,period_end,concentration,gas,reference_standard
1996-11-01,1996-11-30,1709.2,Methane,WMOX2004a
1996-12-01,1996-12-31,1702.4,Methane,WMOX2004a
1997-01-01,1997-01-31,1690.4,Methane,WMOX2004a
1997-02-01,1997-02-28,NA,Methane,WMOX2004a
1997-03-01,1997-03-31,1693.4,Methane,WMOX2004a
1997-04-01,1997-04-30,1695.3,Methane,WMOX2004a
1997-05-01,1997-05-31,1707.6,Methane,WMOX2004a
1997-06-01,1997-06-30,1711.5,Methane,WMOX2004a
1997-07-01,1997-07-31,1715.7,Methane,WMOX2004a
1997-08-01,1997-08-31,1717.4,Methane,WMOX2004a
1997-09-01,1997-09-30,1721.4,Methane,WMOX2004a
1997-10-01,1997-10-31,NA,Methane,WMOX2004a
1997-11-01,1997-11-30,1718.7,Methane,WMOX2004a
1997-12-01,1997-12-31,1712.6,Methane,WMOX2004a
1998-01-01,1998-01-31,1706.4,Methane,WMOX2004a
1998-02-01,1998-02-28,1697.7,Methane,WMOX2004a
1998-03-01,1998-03-31,1695.2,Methane,WMOX2004a
1998-04-01,1998-04-30,1713.3,Methane,WMOX2004a
1998-05-01,1998-05-31,1711,Methane,WMOX2004a
1998-06-01,1998-06-30,1716.7,Methane,WMOX2004a
1998-07-01,1998-07-31,1731.8,Methane,WMOX2004a
1998-08-01,1998-08-31,1727.4,Methane,WMOX2004a
1998-09-01,1998-09-30,1732.6,Methane,WMOX2004a
1998-10-01,1998-10-31,1736.3,Methane,WMOX2004a
1998-11-01,1998-11-30,1730.4,Methane,WMOX2004a
1998-12-01,1998-12-31,1725.5,Methane,WMOX2004a
1999-01-01,1999-01-31,1711.1,Methane,WMOX2004a
1999-02-01,1999-02-28,1711.2,Methane,WMOX2004a
1999-03-01,1999-03-31,1710.9,Methane,WMOX2004a
1999-04-01,1999-04-30,1720.3,Methane,WMOX2004a
1999-05-01,1999-05-31,1715.7,Methane,WMOX2004a
1999-06-01,1999-06-30,1723.8,Methane,WMOX2004a
1999-07-01,1999-07-31,1734.2,Methane,WMOX2004a
1999-08-01,1999-08-31,1738,Methane,WMOX2004a
1999-09-01,1999-09-30,1737.4,Methane,WMOX2004a
1999-10-01,1999-10-31,1740,Methane,WMOX2004a
1999-11-01,1999-11-30,1734.2,Methane,WMOX2004a
1999-12-01,1999-12-31,1729,Methane,WMOX2004a
2000-01-01,2000-01-31,1715.1,Methane,WMOX2004a
2000-02-01,2000-02-29,1712.6,Methane,WMOX2004a
2000-03-01,2000-03-31,1711.9,Methane,WMOX2004a
2000-04-01,2000-04-30,NA,Methane,WMOX2004a
2000-05-01,2000-05-31,1718.8,Methane,WMOX2004a
2000-06-01,2000-06-30,1725.9,Methane,WMOX2004a
2000-07-01,2000-07-31,1740.1,Methane,WMOX2004a
2000-08-01,2000-08-31,1739.3,Methane,WMOX2004a
2000-09-01,2000-09-30,1740.5,Methane,WMOX2004a
2000-10-01,2000-10-31,1744.1,Methane,WMOX2004a
2000-11-01,2000-11-30,1735.3,Methane,WMOX2004a
2000-12-01,2000-12-31,1739.3,Methane,WMOX2004a
2001-01-01,2001-01-31,1720.4,Methane,WMOX2004a
2001-02-01,2001-02-28,1720.3,Methane,WMOX2004a
2001-03-01,2001-03-31,1713.5,Methane,WMOX2004a
2001-04-01,2001-04-30,1718.3,Methane,WMOX2004a
2001-05-01,2001-05-31,1726.3,Methane,WMOX2004a
2001-06-01,2001-06-30,1731.4,Methane,WMOX2004a
2001-07-01,2001-07-31,1737.3,Methane,WMOX2004a
2001-08-01,2001-08-31,1738.9,Methane,WMOX2004a
2001-09-01,2001-09-30,1741.5,Methane,WMOX2004a
2001-10-01,2001-10-31,1739.6,Methane,WMOX2004a
2001-11-01,2001-11-30,1734.1,Methane,WMOX2004a
2001-12-01,2001-12-31,1731,Methane,WMOX2004a
2002-01-01,2002-01-31,1717.9,Methane,WMOX2004a
2002-02-01,2002-02-28,1714.8,Methane,WMOX2004a
2002-03-01,2002-03-31,1715.1,Methane,WMOX2004a
2002-04-01,2002-04-30,1722.7,Methane,WMOX2004a
2002-05-01,2002-05-31,1735.2,Methane,WMOX2004a
2002-06-01,2002-06-30,1735.7,Methane,WMOX2004a
2002-07-01,2002-07-31,1742.5,Methane,WMOX2004a
2002-08-01,2002-08-31,1744,Methane,WMOX2004a
2002-09-01,2002-09-30,1747,Methane,WMOX2004a
2002-10-01,2002-10-31,1747.1,Methane,WMOX2004a
2002-11-01,2002-11-30,1742.1,Methane,WMOX2004a
2002-12-01,2002-12-31,1732.8,Methane,WMOX2004a
2003-01-01,2003-01-31,1725.1,Methane,WMOX2004a
2003-02-01,2003-02-28,1719.1,Methane,WMOX2004a
2003-03-01,2003-03-31,1717.7,Methane,WMOX2004a
2003-04-01,2003-04-30,1722.6,Methane,WMOX2004a
2003-05-01,2003-05-31,1726,Methane,WMOX2004a
2003-06-01,2003-06-30,1744.4,Methane,WMOX2004a
2003-07-01,2003-07-31,1737.9,Methane,WMOX2004a
2003-08-01,2003-08-31,1749.5,Methane,WMOX2004a
2003-09-01,2003-09-30,1747.1,Methane,WMOX2004a
2003-10-01,2003-10-31,1745.2,Methane,WMOX2004a
2003-11-01,2003-11-30,1742.7,Methane,WMOX2004a
2003-12-01,2003-12-31,1733.5,Methane,WMOX2004a
2004-01-01,2004-01-31,1724.2,Methane,WMOX2004a
2004-02-01,2004-02-29,1716.7,Methane,WMOX2004a
2004-03-01,2004-03-31,1715.3,Methane,WMOX2004a
2004-04-01,2004-04-30,1716.7,Methane,WMOX2004a
2004-05-01,2004-05-31,1723.8,Methane,WMOX2004a
2004-06-01,2004-06-30,1732.9,Methane,WMOX2004a
2004-07-01,2004-07-31,1741.3,Methane,WMOX2004a
2004-08-01,2004-08-31,1745.4,Methane,WMOX2004a
2004-09-01,2004-09-30,1746,Methane,WMOX2004a
2004-10-01,2004-10-31,1742.1,Methane,WMOX2004a
2004-11-01,2004-11-30,1730.2,Methane,WMOX2004a
2004-12-01,2004-12-31,1734.7,Methane,WMOX2004a
2005-01-01,2005-01-31,1723,Methane,WMOX2004a
2005-02-01,2005-02-28,1714,Methane,WMOX2004a
2005-03-01,2005-03-31,1718,Methane,WMOX2004a
2005-04-01,2005-04-30,1718,Methane,WMOX2004a
2005-05-01,2005-05-31,1729.1,Methane,WMOX2004a
2005-06-01,2005-06-30,1730.9,Methane,WMOX2004a
2005-07-01,2005-07-31,1736.5,Methane,WMOX2004a
2005-08-01,2005-08-31,1749.9,Methane,WMOX2004a
2005-09-01,2005-09-30,1746.4,Methane,WMOX2004a
2005-10-01,2005-10-31,1743,Methane,WMOX2004a
2005-11-01,2005-11-30,1736.6,Methane,WMOX2004a
2005-12-01,2005-12-31,1730.5,Methane,WMOX2004a
2006-01-01,2006-01-31,1719.7,Methane,WMOX2004a
2006-02-01,2006-02-28,1717.6,Methane,WMOX2004a
2006-03-01,2006-03-31,1715,Methane,WMOX2004a
2006-04-01,2006-04-30,1722.4,Methane,WMOX2004a
2006-05-01,2006-05-31,1728.4,Methane,WMOX2004a
2006-06-01,2006-06-30,1730.9,Methane,WMOX2004a
2006-07-01,2006-07-31,1739.1,Methane,WMOX2004a
2006-08-01,2006-08-31,1748.5,Methane,WMOX2004a
2006-09-01,2006-09-30,1743.7,Methane,WMOX2004a
2006-10-01,2006-10-31,1743.2,Methane,WMOX2004a
2006-11-01,2006-11-30,1737.6,Methane,WMOX2004a
2006-12-01,2006-12-31,1732.6,Methane,WMOX2004a
2007-01-01,2007-01-31,1728.3,Methane,WMOX2004a
2007-02-01,2007-02-28,1721.2,Methane,WMOX2004a
2007-03-01,2007-03-31,1718.9,Methane,WMOX2004a
2007-04-01,2007-04-30,1721.9,Methane,WMOX2004a
2007-05-01,2007-05-31,1733.3,Methane,WMOX2004a
2007-06-01,2007-06-30,1739.6,Methane,WMOX2004a
2007-07-01,2007-07-31,1741.4,Methane,WMOX2004a
2007-08-01,2007-08-31,1750,Methane,WMOX2004a
2007-09-01,2007-09-30,1753.1,Methane,WMOX2004a
2007-10-01,2007-10-31,1749.6,Methane,WMOX2004a
2007-11-01,2007-11-30,1744.4,Methane,WMOX2004a
2007-12-01,2007-12-31,1738.9,Methane,WMOX2004a
2008-01-01,2008-01-31,1728.8,Methane,WMOX2004a
2008-02-01,2008-02-29,1726.2,Methane,WMOX2004a
2008-03-01,2008-03-31,1726.9,Methane,WMOX2004a
2008-04-01,2008-04-30,1731.3,Methane,WMOX2004a
2008-05-01,2008-05-31,1740.4,Methane,WMOX2004a
2008-06-01,2008-06-30,1749.1,Methane,WMOX2004a
2008-07-01,2008-07-31,1753.5,Methane,WMOX2004a
2008-08-01,2008-08-31,1756.4,Methane,WMOX2004a
2008-09-01,2008-09-30,1755.2,Methane,WMOX2004a
2008-10-01,2008-10-31,1758.3,Methane,WMOX2004a
2008-11-01,2008-11-30,1754.8,Methane,WMOX2004a
2008-12-01,2008-12-31,1744.4,Methane,WMOX2004a
2009-01-01,2009-01-31,1732.8,Methane,WMOX2004a
2009-02-01,2009-02-28,1729.1,Methane,WMOX2004a
2009-03-01,2009-03-31,1729.5,Methane,WMOX2004a
2009-04-01,2009-04-30,1732.6,Methane,WMOX2004a
2009-05-01,2009-05-31,1741.7,Methane,WMOX2004a
2009-06-01,2009-06-30,1749,Methane,WMOX2004a
2009-07-01,2009-07-31,1754.8,Methane,WMOX2004a
2009-08-01,2009-08-31,1757.9,Methane,WMOX2004a
2009-09-01,2009-09-30,1761.1,Methane,WMOX2004a
2009-10-01,2009-10-31,1761.2,Methane,WMOX2004a
2009-11-01,2009-11-30,1754.3,Methane,WMOX2004a
2009-12-01,2009-12-31,1749.6,Methane,WMOX2004a
2010-01-01,2010-01-31,1741.5,Methane,WMOX2004a
2010-02-01,2010-02-28,1733.4,Methane,WMOX2004a
2010-03-01,2010-03-31,1734.8,Methane,WMOX2004a
2010-04-01,2010-04-30,1741.5,Methane,WMOX2004a
2010-05-01,2010-05-31,1750.9,Methane,WMOX2004a
2010-06-01,2010-06-30,1753.5,Methane,WMOX2004a
2010-07-01,2010-07-31,1763.5,Methane,WMOX2004a
2010-08-01,2010-08-31,1772.9,Methane,WMOX2004a
2010-09-01,2010-09-30,NA,Methane,WMOX2004a
2010-10-01,2010-10-31,1768.2,Methane,WMOX2004a
2010-11-01,2010-11-30,1765.3,Methane,WMOX2004a
2010-12-01,2010-12-31,1760.4,Methane,WMOX2004a
2011-01-01,2011-01-31,1747.9,Methane,WMOX2004a
2011-02-01,2011-02-28,1747.8,Methane,WMOX2004a
2011-03-01,2011-03-31,1744.4,Methane,WMOX2004a
2011-04-01,2011-04-30,1750.6,Methane,WMOX2004a
2011-05-01,2011-05-31,1753.7,Methane,WMOX2004a
2011-06-01,2011-06-30,1764.3,Methane,WMOX2004a
2011-07-01,2011-07-31,1768.6,Methane,WMOX2004a
2011-08-01,2011-08-31,1776,Methane,WMOX2004a
2011-09-01,2011-09-30,1775.7,Methane,WMOX2004a
2011-10-01,2011-10-31,1774.8,Methane,WMOX2004a
2011-11-01,2011-11-30,1766.1,Methane,WMOX2004a
2011-12-01,2011-12-31,1758.8,Methane,WMOX2004a
2012-01-01,2012-01-31,1751.7,Methane,WMOX2004a
2012-02-01,2012-02-29,1746.4,Methane,WMOX2004a
2012-03-01,2012-03-31,1748.9,Methane,WMOX2004a
2012-04-01,2012-04-30,1749.8,Methane,WMOX2004a
2012-05-01,2012-05-31,1759.9,Methane,WMOX2004a
2012-06-01,2012-06-30,1768.8,Methane,WMOX2004a
2012-07-01,2012-07-31,1773.2,Methane,WMOX2004a
2012-08-01,2012-08-31,1779.5,Methane,WMOX2004a
2012-09-01,2012-09-30,1781.4,Methane,WMOX2004a
2012-10-01,2012-10-31,1780.8,Methane,WMOX2004a
2012-11-01,2012-11-30,1771.7,Methane,WMOX2004a
2012-12-01,2012-12-31,1752.3,Methane,WMOX2004a
2013-01-01,2013-01-31,1755.7,Methane,WMOX2004a
2013-02-01,2013-02-28,1749.5,Methane,WMOX2004a
2013-03-01,2013-03-31,1754.5,Methane,WMOX2004a
2013-04-01,2013-04-30,1761,Methane,WMOX2004a
2013-05-01,2013-05-31,1767.9,Methane,WMOX2004a
2013-06-01,2013-06-30,1772.3,Methane,WMOX2004a
2013-07-01,2013-07-31,1775.3,Methane,WMOX2004a
2013-08-01,2013-08-31,1787.2,Methane,WMOX2004a
2013-09-01,2013-09-30,1786.4,Methane,WMOX2004a
2013-10-01,2013-10-31,1783.4,Methane,WMOX2004a
2013-11-01,2013-11-30,1775.4,Methane,WMOX2004a
2013-12-01,2013-12-31,1770,Methane,WMOX2004a
2014-01-01,2014-01-31,1761.3,Methane,WMOX2004a
2014-02-01,2014-02-28,1752.2,Methane,WMOX2004a
2014-03-01,2014-03-31,1758,Methane,WMOX2004a
2014-04-01,2014-04-30,1770.5,Methane,WMOX2004a
2014-05-01,2014-05-31,1773.7,Methane,WMOX2004a
2014-06-01,2014-06-30,1784.3,Methane,WMOX2004a
2014-07-01,2014-07-31,1790.1,Methane,WMOX2004a
2014-08-01,2014-08-31,1792.4,Methane,WMOX2004a
2014-09-01,2014-09-30,1794.4,Methane,WMOX2004a
2014-10-01,2014-10-31,1793.4,Methane,WMOX2004a
2014-11-01,2014-11-30,1791.5,Methane,WMOX2004a
2014-12-01,2014-12-31,1783.1,Methane,WMOX2004a
2015-01-01,2015-01-31,1773,Methane,WMOX2004a
2015-02-01,2015-02-28,1767.1,Methane,WMOX2004a
2015-03-01,2015-03-31,1776.2,Methane,WMOX2004a
2015-04-01,2015-04-30,1777,Methane,WMOX2004a
2015-05-01,2015-05-31,NA,Methane,WMOX2004a
2015-06-01,2015-06-30,1788.3,Methane,WMOX2004a
2015-07-01,2015-07-31,1802.3,Methane,WMOX2004a
2015-08-01,2015-08-31,NA,Methane,WMOX2004a
2015-09-01,2015-09-30,1805.4,Methane,WMOX2004a
2015-10-01,2015-10-31,1803.5,Methane,WMOX2004a
2015-11-01,2015-11-30,1798,Methane,WMOX2004a
2015-12-01,2015-12-31,1791.3,Methane,WMOX2004a
2016-01-01,2016-01-31,1778.4,Methane,WMOX2004a
2016-02-01,2016-02-29,NA,Methane,WMOX2004a
2016-03-01,2016-03-31,1777.2,Methane,WMOX2004a
2016-04-01,2016-04-30,1778.7,Methane,WMOX2004a
2016-05-01,2016-05-31,1795.1,Methane,WMOX2004a
2016-06-01,2016-06-30,1805.8,Methane,WMOX2004a
2016-07-01,2016-07-31,NA,Methane,WMOX2004a
2016-08-01,2016-08-31,1805.4,Methane,WMOX2004a
2016-09-01,2016-09-30,1810.4,Methane,WMOX2004a
2016-10-01,2016-10-31,NA,Methane,WMOX2004a
2016-11-01,2016-11-30,NA,Methane,WMOX2004a
2016-12-01,2016-12-31,NA,Methane,WMOX2004a
2017-01-01,2017-01-31,1784.7,Methane,WMOX2004a
2017-02-01,2017-02-28,1781.4,Methane,WMOX2004a
2017-03-01,2017-03-31,1781.8,Methane,WMOX2004a
2017-04-01,2017-04-30,1791.5,Methane,WMOX2004a
2017-05-01,2017-05-31,1794.4,Methane,WMOX2004a
2017-06-01,2017-06-30,1805.8,Methane,WMOX2004a
2017-07-01,2017-07-31,1813.2,Methane,WMOX2004a
2017-08-01,2017-08-31,1815.5,Methane,WMOX2004a
2017-09-01,2017-09-30,1820.4,Methane,WMOX2004a
2017-10-01,2017-10-31,1818.2,Methane,WMOX2004a
2017-11-01,2017-11-30,1812.9,Methane,WMOX2004a
2017-12-01,2017-12-31,1803.8,Methane,WMOX2004a
2018-01-01,2018-01-31,1797.8,Methane,WMOX2004a
2018-02-01,2018-02-28,1796.3,Methane,WMOX2004a
2018-03-01,2018-03-31,1791.3,Methane,WMOX2004a
2018-04-01,2018-04-30,1799.4,Methane,WMOX2004a
2018-05-01,2018-05-31,1811.3,Methane,WMOX2004a
2018-06-01,2018-06-30,1818.2,Methane,WMOX2004a
2018-07-01,2018-07-31,1825.7,Methane,WMOX2004a
2018-08-01,2018-08-31,1833,Methane,WMOX2004a
2018-09-01,2018-09-30,1832.9,Methane,WMOX2004a
2018-10-01,2018-10-31,1829.3,Methane,WMOX2004a
2018-11-01,2018-11-30,1824,Methane,WMOX2004a
2018-12-01,2018-12-31,1814.1,Methane,WMOX2004a
2019-01-01,2019-01-31,1806.7,Methane,WMOX2004a
2019-02-01,2019-02-28,1799.3,Methane,WMOX2004a
2019-03-01,2019-03-31,1803.5,Methane,WMOX2004a
2019-04-01,2019-04-30,1809.6,Methane,WMOX2004a
2019-05-01,2019-05-31,1815.6,Methane,WMOX2004a
2019-06-01,2019-06-30,1819.2,Methane,WMOX2004a
2019-07-01,2019-07-31,1828.9,Methane,WMOX2004a
2019-08-01,2019-08-31,1834.8,Methane,WMOX2004a
2019-09-01,2019-09-30,1837.5,Methane,WMOX2004a
2019-10-01,2019-10-31,1835.9,Methane,WMOX2004a
2019-11-01,2019-11-30,1826.9,Methane,WMOX2004a
2019-12-01,2019-12-31,1825.4,Methane,WMOX2004a
2000-09-01,2000-09-30,64.2,Carbon monoxide,WMOX2014a
2000-10-01,2000-10-31,70.1,Carbon monoxide,WMOX2014a
2000-11-01,2000-11-30,55.6,Carbon monoxide,WMOX2014a
2000-12-01,2000-12-31,62.2,Carbon monoxide,WMOX2014a
2001-01-01,2001-01-31,NA,Carbon monoxide,WMOX2014a
2001-02-01,2001-02-28,49.5,Carbon monoxide,WMOX2014a
2001-03-01,2001-03-31,46.3,Carbon monoxide,WMOX2014a
2001-04-01,2001-04-30,57.9,Carbon monoxide,WMOX2014a
2001-05-01,2001-05-31,55.5,Carbon monoxide,WMOX2014a
2001-06-01,2001-06-30,55.8,Carbon monoxide,WMOX2014a
2001-07-01,2001-07-31,60.8,Carbon monoxide,WMOX2014a
2001-08-01,2001-08-31,65,Carbon monoxide,WMOX2014a
2001-09-01,2001-09-30,75.4,Carbon monoxide,WMOX2014a
2001-10-01,2001-10-31,72.5,Carbon monoxide,WMOX2014a
2001-11-01,2001-11-30,65.7,Carbon monoxide,WMOX2014a
2001-12-01,2001-12-31,53.1,Carbon monoxide,WMOX2014a
2002-01-01,2002-01-31,51.2,Carbon monoxide,WMOX2014a
2002-02-01,2002-02-28,44.6,Carbon monoxide,WMOX2014a
2002-03-01,2002-03-31,62.3,Carbon monoxide,WMOX2014a
2002-04-01,2002-04-30,53.9,Carbon monoxide,WMOX2014a
2002-05-01,2002-05-31,60.8,Carbon monoxide,WMOX2014a
2002-06-01,2002-06-30,60.2,Carbon monoxide,WMOX2014a
2002-07-01,2002-07-31,63.9,Carbon monoxide,WMOX2014a
2002-08-01,2002-08-31,71.9,Carbon monoxide,WMOX2014a
2002-09-01,2002-09-30,67.4,Carbon monoxide,WMOX2014a
2002-10-01,2002-10-31,74.1,Carbon monoxide,WMOX2014a
2002-11-01,2002-11-30,70.9,Carbon monoxide,WMOX2014a
2002-12-01,2002-12-31,82.2,Carbon monoxide,WMOX2014a
2003-01-01,2003-01-31,52.5,Carbon monoxide,WMOX2014a
2003-02-01,2003-02-28,54.4,Carbon monoxide,WMOX2014a
2003-03-01,2003-03-31,57.7,Carbon monoxide,WMOX2014a
2003-04-01,2003-04-30,54.9,Carbon monoxide,WMOX2014a
2003-05-01,2003-05-31,55.6,Carbon monoxide,WMOX2014a
2003-06-01,2003-06-30,62.7,Carbon monoxide,WMOX2014a
2003-07-01,2003-07-31,60.4,Carbon monoxide,WMOX2014a
2003-08-01,2003-08-31,74.2,Carbon monoxide,WMOX2014a
2003-09-01,2003-09-30,71.1,Carbon monoxide,WMOX2014a
2003-10-01,2003-10-31,73.7,Carbon monoxide,WMOX2014a
2003-11-01,2003-11-30,71.9,Carbon monoxide,WMOX2014a
2003-12-01,2003-12-31,59.7,Carbon monoxide,WMOX2014a
2004-01-01,2004-01-31,53.5,Carbon monoxide,WMOX2014a
2004-02-01,2004-02-29,46.3,Carbon monoxide,WMOX2014a
2004-03-01,2004-03-31,47.1,Carbon monoxide,WMOX2014a
2004-04-01,2004-04-30,48.8,Carbon monoxide,WMOX2014a
2004-05-01,2004-05-31,52.2,Carbon monoxide,WMOX2014a
2004-06-01,2004-06-30,56.8,Carbon monoxide,WMOX2014a
2004-07-01,2004-07-31,61.9,Carbon monoxide,WMOX2014a
2004-08-01,2004-08-31,64.8,Carbon monoxide,WMOX2014a
2004-09-01,2004-09-30,66.6,Carbon monoxide,WMOX2014a
2004-10-01,2004-10-31,66.8,Carbon monoxide,WMOX2014a
2004-11-01,2004-11-30,54.8,Carbon monoxide,WMOX2014a
2004-12-01,2004-12-31,60.8,Carbon monoxide,WMOX2014a
2005-01-01,2005-01-31,56.3,Carbon monoxide,WMOX2014a
2005-02-01,2005-02-28,47.5,Carbon monoxide,WMOX2014a
2005-03-01,2005-03-31,47.5,Carbon monoxide,WMOX2014a
2005-04-01,2005-04-30,48.3,Carbon monoxide,WMOX2014a
2005-05-01,2005-05-31,52.4,Carbon monoxide,WMOX2014a
2005-06-01,2005-06-30,60,Carbon monoxide,WMOX2014a
2005-07-01,2005-07-31,63.9,Carbon monoxide,WMOX2014a
2005-08-01,2005-08-31,69.9,Carbon monoxide,WMOX2014a
2005-09-01,2005-09-30,76.6,Carbon monoxide,WMOX2014a
2005-10-01,2005-10-31,75.3,Carbon monoxide,WMOX2014a
2005-11-01,2005-11-30,73.9,Carbon monoxide,WMOX2014a
2005-12-01,2005-12-31,64.6,Carbon monoxide,WMOX2014a
2006-01-01,2006-01-31,48.2,Carbon monoxide,WMOX2014a
2006-02-01,2006-02-28,60.9,Carbon monoxide,WMOX2014a
2006-03-01,2006-03-31,46.2,Carbon monoxide,WMOX2014a
2006-04-01,2006-04-30,51.8,Carbon monoxide,WMOX2014a
2006-05-01,2006-05-31,53.6,Carbon monoxide,WMOX2014a
2006-06-01,2006-06-30,57.3,Carbon monoxide,WMOX2014a
2006-07-01,2006-07-31,61.9,Carbon monoxide,WMOX2014a
2006-08-01,2006-08-31,65.6,Carbon monoxide,WMOX2014a
2006-09-01,2006-09-30,65.5,Carbon monoxide,WMOX2014a
2006-10-01,2006-10-31,70.8,Carbon monoxide,WMOX2014a
2006-11-01,2006-11-30,60.5,Carbon monoxide,WMOX2014a
2006-12-01,2006-12-31,60.7,Carbon monoxide,WMOX2014a
2007-01-01,2007-01-31,59.5,Carbon monoxide,WMOX2014a
2007-02-01,2007-02-28,51.4,Carbon monoxide,WMOX2014a
